Address,Area,Frontage,Access Road,House direction,Balcony direction,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Day
"Hà Nội, Hoài Đức, Căn hộ chung cư tại Chung cư The Wisteria",83.0,,,Tây,Nam,2,2,Have certificate,Basic,6.0,15
"Hà Nội, Hoài Đức, Căn hộ chung cư tại Chung cư The Wisteria",110.0,,,Tây,Nam,3,3,Have certificate,Basic,7.8,15
"Bình Thuận, Phan Thiết, Căn hộ chung cư tại Phú Thịnh Plaza Phan Thiết",64.0,,,Tây - Nam,Đông - Bắc,2,2,Sale contract,Basic,2.4,15
"Hồ Chí Minh, Quận 2, Căn hộ chung cư tại Gateway Thảo Điền",50.0,,,Nam,Nam,1,1,Have certificate,Full,6.5,15
"Hồ Chí Minh, Bình Tân, Căn hộ chung cư tại Chung cư Lý Chiêu Hoàng",60.0,,,Đông,Tây,2,1,Have certificate,,1.85,17
"Hải Phòng, Ngô Quyền, Căn hộ chung cư tại Chung cư Lakeside Garden",66.8,,,Đông - Bắc,Tây - Nam,2,2,Have certificate,Basic,2.97,16
"Hà Nội, Hà Đông, Căn hộ chung cư tại Xuân Mai Complex",70.1,,,Tây - Nam,Đông - Bắc,,,Have certificate,,4.3,16
"Hà Nội, Cầu Giấy, Căn hộ chung cư tại Hanoi Signature",178.0,,,,,,,Have certificate,,33.0,13
"Hà Nội, Thanh Xuân, Căn hộ chung cư tại Hanoi Seasons Garden",81.4,,,Đông - Bắc,,2,2,Sale contract,Basic,13.6,2
"Hà Nội, Thanh Xuân, Căn hộ chung cư tại Hanoi Seasons Garden",84.9,,,,Đông - Bắc,2,2,Sale contract,Basic,14.32,2
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Vinhomes Gardenia",80.0,,,Đông - Bắc,Tây - Nam,2,2,Have certificate,Full,7.2,10
"Bình Dương, Thuận An, Căn hộ chung cư tại Monrei Saigon",88.0,,,Tây - Bắc,Đông - Bắc,3,2,Sale contract,Basic,3.95,15
"Khánh Hòa, Nha Trang, Căn hộ chung cư tại Khu đô thị VCN Phước Long 2",67.0,,,,,2,1,Have certificate,Full,2.8,16
"Thừa Thiên Huế, Huế, Căn hộ chung cư tại Hue Heritage",82.0,,,Tây,Đông,3,2,Have certificate,Full,,13
"Hà Nội, Hoài Đức, Căn hộ chung cư tại Moonlight 2 - An Lạc Green Symphony",75.0,,,,,2,,,Full,0.07,16
"Long An, Đức Hòa, Căn hộ chung cư tại The Win City",61.1,,,Đông,Tây,2,2,Sale contract,Basic,2.05,12
"Quảng Ninh, Hạ Long, Căn hộ chung cư tại Sun Festo Town",30.0,,,Tây - Bắc,Đông - Nam,1,1,Sale contract,Full,2.1,16
"Thái Nguyên, Phổ Yên, Căn hộ chung cư tại Khu đô thị Yên Bình Thái Nguyên",62.0,,,Bắc,Nam,2,2,Sale contract,Basic,1.57,13
"Hà Nội, Hoàng Mai, Căn hộ chung cư tại Rose Town 79 Ngọc Hồi",104.0,,,,,,,Sale contract,,0.08,17
"Hà Nội, Tây Hồ, Căn hộ chung cư tại Sunshine Riverside",76.0,,,,,3,2,Have certificate,Full,6.5,18
"Hà Nội, Tây Hồ, Căn hộ chung cư tại Tây Hồ Riverview",76.0,,,,,2,2,Have certificate,Full,6.2,18
"Hà Nội, Long Biên, Căn hộ chung cư tại đường Ngọc Thụy",74.0,,,Bắc,Nam,2,2,,,4.85,15
"Quảng Ninh, Hạ Long, Căn hộ chung cư tại Sun Centro Town",31.0,,,Tây - Bắc,Tây - Bắc,1,1,Sale contract,Full,1.8,18
"Hà Nội, Hoàng Mai, Căn hộ chung cư tại Rivea Residences",61.26,,,,Nam,2,2,Have certificate,Full,7.3,12
"Hồ Chí Minh, Quận 9, Căn hộ chung cư tại Ehome 2",64.0,,,Đông,Tây,2,2,Have certificate,Basic,3.3,18
"Hồ Chí Minh, Quận 2, Căn hộ chung cư tại D'Edge Thảo Điền",420.0,,,,,5,3,Have certificate,Full,80.0,18
"Hồ Chí Minh, Quận 2, Căn hộ chung cư tại Paris Hoàng Kim",65.0,,,Đông - Bắc,Nam,2,2,,Full,8.0,18
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Vinhomes Skylake",44.0,,,,,1,1,Have certificate,Full,6.5,1
"Đà Nẵng, Ngũ Hành Sơn, Căn hộ chung cư tại FourS Tower",98.0,,,Đông - Bắc,Tây - Nam,2,1,Have certificate,Full,2.7,18
"Bình Dương, Thuận An, Căn hộ chung cư tại Iris Tower",45.0,,,Nam,Bắc,1,1,Have certificate,Full,1.25,9
"Bình Dương, Thuận An, Căn hộ chung cư tại Iris Tower",59.0,,,,,2,2,Have certificate,Full,1.55,9
"Hà Nội, Thanh Trì, Căn hộ chung cư tại Greenera Southmark",46.87,,,Tây,Đông,1,1,Sale contract,Basic,5.52,12
"Hà Nội, Thanh Trì, Căn hộ chung cư tại Greenera Southmark",46.87,,,Tây,Đông,1,1,Sale contract,Basic,5.55,12
"Bắc Giang, Bắc Giang, Căn hộ chung cư tại Gold Park",69.7,,,Tây - Nam,Đông - Bắc,2,2,Sale contract,Basic,3.82,2
"Đồng Nai, Nhơn Trạch, Căn hộ chung cư tại Căn hộ Terra Flora",89.0,,,Bắc,Nam,3,2,Have certificate,Full,2.5,2
"Hà Nội, Hoàng Mai, Căn hộ chung cư tại Rivea Residences",102.0,,,Tây - Bắc,Đông - Nam,3,2,Have certificate,Full,10.15,18
"Hồ Chí Minh, Nhà Bè, Căn hộ chung cư tại Essensia Sky",115.0,,,,,3,2,Sale contract,Basic,9.2,18
"Hồ Chí Minh, Nhà Bè, Căn hộ chung cư tại Essensia Sky",81.0,,,Đông - Nam,Tây - Bắc,2,2,Sale contract,Basic,6.2,18
"Hà Nội, Hà Đông, Căn hộ chung cư tại Tháp đôi Kepler Land",98.0,,,Tây - Nam,,3,2,Sale contract,Full,10.0,18
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Imperia Smart City",28.3,,,,Đông - Nam,1,1,Have certificate,,3.0,20
"Hà Nội, Hai Bà Trưng, Căn hộ chung cư tại Times City",83.0,,,Bắc,Nam,2,2,Have certificate,Full,8.0,20
"Bình Dương, Thuận An, Căn hộ chung cư tại La Pura",69.0,,,Nam,Bắc,2,2,Sale contract,Basic,4.5,20
"Hà Nội, Đống Đa, Căn hộ chung cư tại Tòa nhà 101 Láng Hạ",162.0,,,Nam,Bắc,3,2,Have certificate,Basic,0.09,20
"Bình Dương, Thủ Dầu Một, Căn hộ chung cư tại The Harmonie Phú Mỹ Hưng",72.0,,,,,2,2,Sale contract,Basic,3.2,14
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Chung cư An Sinh",122.0,,,,,3,2,Have certificate,,7.6,20
"Đà Nẵng, Sơn Trà, Căn hộ chung cư tại The Legend City",61.0,,,,,1,1,Have certificate,Full,7.25,22
"Bình Dương, Thủ Dầu Một, Căn hộ chung cư tại Midori Park The Nest",50.0,,,,,,,,,2.3,22
"Hà Nội, Hà Đông, Căn hộ chung cư tại Khu nhà ở Bộ tư lệnh Thủ đô Hà Nội",122.0,,,,Đông - Nam,4,,Have certificate,,6.38,22
"Bắc Ninh, Bắc Ninh, Căn hộ chung cư tại Cát Tường Thống Nhất",70.0,,,Nam,Đông - Bắc,3,2,Have certificate,Full,2.8,1
"Bình Dương, Thủ Dầu Một, Căn hộ chung cư tại Happy One Central",50.0,,,,,1,,,Full,1.9,22
"Cần Thơ, Cái Răng, Căn hộ chung cư tại Cara River Park",36.0,,,,Đông,1,,,,1.55,22
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Lumi Hanoi",42.0,,,Đông - Nam,Đông - Nam,1,1,Have certificate,Basic,3.5,22
"Thừa Thiên Huế, Huế, Căn hộ chung cư tại Hue Heritage",86.1,,,Tây - Bắc,Đông - Nam,3,2,Sale contract,Basic,5.74,22
"Hồ Chí Minh, Nhà Bè, Căn hộ chung cư tại Dragon Hill Residence and Suites",104.0,,,Tây - Nam,Đông - Bắc,3,2,,Full,6.5,22
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Tòa nhà Intracom1 - Trung Văn",120.0,,,Nam,Bắc,3,2,Have certificate,Full,7.8,22
"Hà Nội, Thanh Xuân, Căn hộ chung cư tại The Legend Tower 109 Nguyễn Tuân",186.5,,,Đông - Nam,,4,3,Have certificate,,0.12,22
"Hồ Chí Minh, Quận 8, Căn hộ chung cư tại Central Premium",73.0,,,,,2,2,,Full,4.5,22
"Hà Nội, Tây Hồ, Căn hộ chung cư tại D’. Le Roi Soleil",111.0,,,,,3,3,Have certificate,Full,,22
"Hà Nội, Hoài Đức, Căn hộ chung cư tại Hinode Royal Park",50.0,,,,,,,Have certificate,Basic,3.0,22
"Hải Phòng, Kiến An, Căn hộ chung cư tại The Zenith Hải Phòng",66.0,,,Bắc,Nam,2,2,Sale contract,Full,0.04,22
"Đà Nẵng, Liên Chiểu, Căn hộ chung cư tại đường Trung Lập 6",58.0,,,,,2,2,Have certificate,Full,2.0,22
"Bình Dương, Dĩ An, Căn hộ chung cư tại Charm City",96.0,,,,,2,2,Have certificate,Basic,,22
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại NHS Phương Canh Residence",80.0,,,Đông - Bắc,Tây - Nam,3,2,Have certificate,Full,6.0,22
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Golden Field Mỹ Đình",66.7,,,Tây - Bắc,Đông - Nam,2,2,Have certificate,Full,6.5,22
"Hà Nội, Hà Đông, Căn hộ chung cư tại The Pride",73.0,,,,,2,2,Have certificate,Full,,1
"Bình Dương, Thuận An, Căn hộ chung cư tại The Habitat Binh Duong",61.7,,,Tây - Bắc,,2,2,Sale contract,Basic,0.04,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Khu nhà ở Bộ tư lệnh Thủ đô Hà Nội",61.0,,,Nam,Bắc,2,2,Have certificate,Full,,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại The Sparks",54.0,,,,,2,2,Have certificate,Full,,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Khu nhà ở Bộ tư lệnh Thủ đô Hà Nội",80.0,,,,,2,2,Have certificate,Full,,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Khu đô thị mới Dương Nội",84.0,,,Đông,Đông - Bắc,2,2,Have certificate,Full,,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại The Pride",73.0,,,,,2,2,Have certificate,Full,,1
"Quảng Ninh, Vân Đồn, Căn hộ chung cư tại Vân Bay Tower",70.0,,,,,,,,,,1
"Hồ Chí Minh, Bình Tân, Căn hộ chung cư tại Lê Thành Tân Tạo",34.0,,,,,1,1,Sale contract,,0.75,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại SDU - 143 Trần Phú",52.0,,,Tây - Nam,Đông - Bắc,2,2,Have certificate,Full,3.95,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Xuân Mai Sparks Tower",69.0,,,Đông - Bắc,Tây - Nam,2,2,Have certificate,Full,4.66,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại CT1 Yên Nghĩa",60.0,,,Bắc,Nam,2,1,Have certificate,Full,4.13,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại The Sparks",56.0,,,Đông - Nam,Tây - Bắc,2,2,Have certificate,Full,3.8,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Khu nhà ở Hưng Thịnh",56.0,,,Tây - Bắc,Đông - Nam,2,1,Have certificate,,3.25,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Chung cư Sails Tower",48.0,,,Tây - Bắc,Đông - Nam,2,1,Have certificate,Full,3.17,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Park View Residence Dương Nội",56.0,,,Tây - Bắc,Đông - Nam,2,1,Have certificate,Full,3.75,1
"Hà Nội, Hà Đông, Căn hộ chung cư tại Khu đô thị mới Xa La",62.0,,,Tây - Bắc,Đông - Nam,2,2,Have certificate,Full,3.95,1
"Hà Nội, Thanh Trì, Căn hộ chung cư tại Greenera Southmark",124.0,,,,,,,,,12.0,1
"Hà Nội, Tây Hồ, Căn hộ chung cư tại Udic Westlake",168.0,,,Tây - Bắc,Tây - Bắc,3,2,Have certificate,Full,15.99,2
"Hà Nội, Tây Hồ, Căn hộ chung cư tại Udic Westlake",86.0,,,Tây,Tây,2,2,Have certificate,Full,9.09,2
"Hưng Yên, Văn Giang, Căn hộ chung cư tại Aqua Bay Sky Residences",152.0,,,,Tây - Bắc,3,2,Have certificate,Full,13.2,3
"Hưng Yên, Văn Giang, Căn hộ chung cư tại Alumi - Alluvia City",34.46,,,Nam,Bắc,1,1,Sale contract,Basic,2.54,3
"Hưng Yên, Văn Giang, Căn hộ chung cư tại Khu đô thị Ecopark",152.0,,,,Tây - Bắc,3,3,Have certificate,Full,14.0,3
"Hưng Yên, Văn Giang, Căn hộ chung cư tại Khu đô thị Ecopark",152.0,,,,Tây - Bắc,3,3,Have certificate,Full,14.0,3
"Hồ Chí Minh, Quận 5, Căn hộ chung cư tại Legacy 66",48.0,,,,,1,1,Sale contract,Full,5.23,3
"Hồ Chí Minh, Tân Phú, Căn hộ chung cư tại Chung cư Khuông Việt",70.0,,,,,2,2,,,3.9,3
"Hà Nội, Tây Hồ, Căn hộ chung cư tại Khu đô thị Nam Thăng Long - Ciputra",123.0,,,,,3,2,Have certificate,Full,11.2,5
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Imperia Smart City",55.0,,,,Đông - Nam,2,1,Have certificate,Basic,4.52,5
"Hà Nội, Hà Đông, Căn hộ chung cư tại The Pride",102.8,,,,,3,2,Have certificate,Full,,1
"Hà Nội, Đông Anh, Căn hộ chung cư tại Masteri Grand Avenue",28.0,,,Đông - Nam,Tây - Bắc,1,1,Sale contract,Full,3.75,5
